method,test_case,participant,fluency,exposure,contrast,color,sharpness,noise,compression_artifacts,aesthetic
v1984,Maxwell,118e07a5-5d2c-405c-8ce0-e462951bf1c8,0,0,-1,-1,-1,0,0,0
v4235,Maxwell,118e07a5-5d2c-405c-8ce0-e462951bf1c8,1,-1,-1,0,1,1,0,-1
v2349,Maxwell,118e07a5-5d2c-405c-8ce0-e462951bf1c8,-1,1,1,1,1,0,0,0
v4166,Maxwell,118e07a5-5d2c-405c-8ce0-e462951bf1c8,1,1,-1,-1,0,0,0,0
v0094,Maxwell,118e07a5-5d2c-405c-8ce0-e462951bf1c8,0,-1,-1,-1,-1,0,1,0
v0162,Maxwell,118e07a5-5d2c-405c-8ce0-e462951bf1c8,-1,-1,-1,-1,-1,0,1,0
v2828,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,-1,-1,0,1,-1,0,-1,0
v3583,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,0,1,-1,0,-1,1,1,0
v3583,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,0,-1,-1,1,0,1,1,0
v1190,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,1,1,1,-1,0,1,1,1
v2513,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,0,1,0,0,-1,0,-1,0
v0162,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,-1,-1,-1,-1,-1,0,-1,-1
v0328,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,-1,-1,0,-1,1,-1,1,-1
v3355,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,1,1,1,1,1,1,1,1
v0162,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,-1,-1,-1,-1,-1,0,-1,-1
v2513,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,0,1,0,0,-1,1,0,0
v2419,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,0,1,0,1,-1,1,-1,0
v4034,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,1,1,1,1,-1,1,0,1
v3065,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,-1,0,0,-1,-1,0,0,0
v4511,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,0,1,1,1,0,1,1,1
v4048,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,-1,1,0,1,0,1,1,0
v4235,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,0,1,1,0,0,1,1,0
v0162,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,-1,-1,-1,-1,-1,0,-1,-1
v2513,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,0,1,-1,0,-1,0,0,0
v4235,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,0,1,1,0,0,1,1,0
v0265,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,-1,0,0,-1,-1,1,-1,1
v4537,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,1,1,0,1,0,1,1,1
v0886,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,0,-1,0,-1,0,1,1,0
v0032,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,0,-1,-1,-1,-1,-1,0,0
v1025,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,-1,1,-1,0,1,0,0,0
v3740,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,1,0,0,0,0,1,-1,0
v4235,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,1,1,0,1,0,1,1,0
v0328,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,0,-1,0,0,-1,-1,0,0
v3355,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,1,1,1,1,0,1,0,1
v4537,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,1,1,1,1,0,1,1,1
v0886,Maxwell,4574d033-c347-4886-a115-d34cee6778a1,0,0,-1,-1,0,0,1,0
v0094,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,-1,-1,-1,-1,-1,-1,-1,-1
v1859,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,1,1,1,1,1,1,1,1
v0878,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,-1,0,0,0,0,0,-1,0
v1190,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,1,1,1,1,1,1,1,1
v2181,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,-1,-1,-1,-1,-1,-1,-1,-1
v3740,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,1,1,1,1,1,1,1,1
v0529,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,1,1,1,1,1,1,1,1
v0032,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,-1,-1,-1,-1,-1,-1,-1,-1
v2519,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,1,1,1,1,1,1,1,1
v3555,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,-1,-1,-1,-1,-1,-1,-1,-1
v0886,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,1,0,0,0,-1,0,0,0
v4235,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,-1,1,1,1,-1,1,-1,1
v1397,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,-1,-1,-1,1,1,1,1,1
v2519,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,-1,-1,-1,-1,-1,-1,-1,-1
v1477,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,1,1,1,1,1,1,1,1
v2828,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,-1,-1,-1,-1,-1,-1,-1,-1
v3555,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,1,1,1,1,1,1,1,1
v0328,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,-1,-1,-1,-1,-1,-1,-1,-1
v4097,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,1,1,1,1,1,1,1,1
v0824,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,-1,-1,-1,-1,-1,-1,-1,-1
v0265,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,1,1,1,1,1,1,1,1
v2083,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,-1,-1,-1,-1,-1,-1,-1,-1
v1373,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,-1,-1,-1,-1,-1,-1,-1,-1
v0824,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,1,1,1,1,1,1,1,1
v4235,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,1,1,1,1,1,1,1,1
v0530,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,-1,-1,-1,-1,-1,-1,-1,-1
v3555,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,1,1,1,1,1,1,1,1
v0328,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,-1,-1,-1,-1,-1,0,-1,-1
v1984,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,-1,0,-1,-1,-1,-1,-1,-1
v1859,Maxwell,c029e6d3-d6b1-4306-9c7c-78ebbcbcad9b,1,1,1,1,1,1,1,1
v2801,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,1,0,1,1,0,-1,-1,0
v2513,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,0,0,0,0,-1,-1,-1,-1
v3555,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,1,1,1,1,1,0,-1,1
v0878,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,-1,0,1,1,1,1,0,0
v0094,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,0,-1,-1,-1,0,-1,0,-1
v0032,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,1,0,0,0,0,1,0,1
v0094,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,1,0,0,0,0,0,1,0
v0878,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,-1,1,1,1,1,1,1,1
v3355,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,1,0,0,0,0,0,-1,0
v2083,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,1,1,1,1,1,1,0,1
v1984,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,1,0,0,0,0,-1,-1,0
v4511,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,1,1,1,1,1,1,1,1
v4125,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,1,1,1,1,0,1,0,1
v2828,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,1,1,1,1,-1,-1,-1,1
v2828,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,0,1,1,1,-1,-1,-1,1
v3355,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,1,0,0,0,0,0,0,0
v0328,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,-1,-1,-1,-1,-1,-1,-1,-1
v0530,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,-1,-1,-1,-1,-1,-1,-1,-1
v2513,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,0,0,-1,-1,-1,-1,-1,-1
v1397,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,-1,1,1,1,0,1,0,0
v2513,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,1,0,0,0,-1,-1,0,-1
v1397,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,-1,1,1,1,0,0,0,1
v4097,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,1,1,0,-1,0,1,1,1
v2063,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,-1,0,-1,-1,-1,0,-1,-1
v2349,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,1,1,1,1,0,0,-1,1
v1394,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,-1,-1,-1,0,-1,0,-1,0
v4125,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,1,1,1,1,0,1,1,1
v0032,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,0,0,-1,-1,-1,1,0,-1
v1025,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,-1,1,0,0,0,0,0,0
v3355,Maxwell,e776162f-2a46-4b9f-a534-2d38aa9d05c2,1,1,0,0,0,0,0,0
v1190,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,1,1,1,1,1,1,1,1
v2889,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,0,-1,-1,0,0,-1,0,-1
v0162,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,-1,-1,-1,-1,-1,-1,-1,-1
v2635,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,-1,0,0,0,0,1,1,0
v1394,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,-1,0,-1,-1,0,-1,0,0
v1373,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,-1,-1,-1,-1,-1,0,0,-1
v1373,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,0,1,1,1,1,1,1,1
v3292,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,0,0,0,0,0,0,0,0
v1373,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,-1,-1,0,0,-1,0,0,-1
v0824,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,0,1,1,0,0,0,0,1
v0878,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,0,0,0,0,1,0,0,-1
v1397,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,-1,-1,-1,0,1,0,0,0
v0265,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,1,-1,0,0,-1,-1,1,0
v2419,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,-1,-1,-1,0,-1,1,0,0
v4034,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,1,0,-1,-1,1,1,1,1
v4166,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,0,0,-1,1,1,-1,0,1
v4034,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,0,0,0,0,1,-1,0,1
v1984,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,1,0,1,-1,-1,0,0,-1
v4048,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,-1,1,1,1,1,-1,-1,1
v2635,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,0,1,0,0,0,-1,0,1
v2635,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,-1,0,-1,-1,-1,-1,-1,-1
v3175,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,0,0,0,1,0,1,0,1
v3065,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,0,-1,-1,-1,0,1,0,0
v2513,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,0,-1,-1,-1,0,-1,-1,-1
v1703,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,-1,-1,-1,-1,-1,-1,-1,-1
v0094,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,-1,-1,-1,-1,-1,-1,-1,-1
v0824,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,-1,-1,-1,-1,-1,-1,-1,-1
v2349,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,-1,1,0,0,1,0,0,0
v2349,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,-1,0,0,-1,-1,-1,-1,0
v3292,Maxwell,62182adc-a9e3-409b-94a5-c4c180d9f3b7,0,-1,-1,-1,-1,-1,0,-1
v4537,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,0,0,0,0,0,0,0,0
v2328,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,0,0,0,0,-1,0,0,0
v2525,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,0,0,0,0,0,0,0,0
v1447,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,-1,0,0,0,0,0,0,0
v3355,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,0,0,0,0,0,0,0,0
v1703,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,-1,0,0,0,0,0,0,0
v1859,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,-1,0,0,0,0,0,0,0
v0094,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,0,-1,0,0,-1,0,0,0
v2328,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,0,0,0,0,-1,0,0,0
v4537,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,0,0,0,0,0,0,0,0
v2349,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,-1,0,0,0,0,0,0,0
v4166,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,0,0,0,0,0,0,0,0
v2889,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,-1,0,0,0,-1,0,0,0
v2519,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,0,0,0,0,0,0,0,0
v1394,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,0,0,0,0,0,0,0,0
v2889,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,-1,0,0,0,-1,0,0,0
v1397,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,-1,0,0,0,0,0,0,0
v2419,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,0,0,0,0,0,0,0,0
v4034,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,0,0,0,1,0,0,0,0
v4125,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,0,0,0,0,0,0,0,0
v3740,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,0,0,0,0,0,0,0,0
v2181,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,-1,0,0,0,0,0,0,0
v1397,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,-1,0,0,0,0,0,0,0
v1984,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,1,0,0,0,0,0,0,0
v0162,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,0,-1,0,0,-1,0,0,0
v2328,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,0,0,0,0,0,0,0,0
v3175,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,1,0,0,0,-1,0,0,0
v0265,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,-1,0,0,0,0,0,0,0
v4511,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,0,0,0,0,0,0,0,0
v2635,Maxwell,df26a6f9-0f91-4a5e-82a0-ce73746d46d1,-1,0,0,0,0,0,0,0
v4125,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,1,0,0,0,1,1,0
v2328,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,0,0,0,-1,1,1,0
v3292,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,0,0,0,-1,1,0,0
v2889,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,0,0,0,0,1,0,0
v1984,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,0,0,0,0,1,1,0
v0162,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,-1,-1,-1,-1,-1,0,0,-1
v3065,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,0,-1,0,-1,0,0,-1
v2181,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,0,0,1,0,1,0,0
v2525,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,0,0,0,-1,0,0,0
v4097,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,1,1,1,0,1,1,1
v2801,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,0,0,1,-1,1,0,0
v1025,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,0,0,0,-1,1,0,0
v2083,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,0,0,0,-1,1,1,0
v0529,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,0,0,-1,-1,0,0,0
v1025,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,0,0,0,0,-1,1,0,0
v4511,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,1,1,1,0,1,1,1
v2328,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,0,0,0,-1,1,0,0
v0824,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,-1,-1,0,-1,-1,0,0,-1
v2419,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,0,0,0,-1,1,0,0
v4048,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,1,0,0,0,1,0,1
v3555,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,1,0,0,0,1,1,0
v0162,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,0,-1,-1,0,-1,0,0,-1
v3292,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,-1,0,0,-1,1,0,0
v2525,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,0,-1,0,-1,0,0,0
v0328,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,0,0,-1,-1,-1,0,-1,0
v2801,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,0,0,0,0,1,0,0
v1447,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,1,0,1,-1,0,0,0
v4166,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,1,1,1,0,0,1,1
v0328,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,0,0,0,0,-1,0,0,0
v2519,Maxwell,cabe6903-7b7e-4c1a-b661-958c6fa61429,1,1,0,0,0,1,0,1
v2525,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,1,-1,-1,0,0,-1,0,0
v3555,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,1,-1,-1,-1,-1,-1,0,0
v1394,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,-1,-1,-1,-1,-1,-1,-1,-1
v0314,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,-1,-1,-1,-1,-1,-1,-1,-1
v4235,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,1,1,1,1,0,0,0,1
v1477,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,0,1,1,1,-1,-1,1,0
v3065,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,-1,0,-1,-1,-1,-1,-1,0
v4048,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,1,1,1,1,1,1,1,1
v4125,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,0,0,0,0,0,0,0,0
v0530,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,-1,-1,-1,-1,-1,-1,-1,-1
v2513,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,-1,0,1,1,-1,0,0,0
v1859,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,1,0,-1,-1,-1,0,0,0
v4048,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,1,1,1,1,1,1,1,1
v2419,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,-1,0,0,0,0,0,0,0
v1397,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,-1,1,1,1,0,0,0,0
v0009,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,-1,-1,-1,-1,-1,-1,-1,-1
v0162,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,-1,-1,-1,-1,-1,-1,-1,-1
v0886,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,0,-1,-1,-1,-1,-1,-1,0
v0162,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,-1,-1,-1,-1,-1,-1,-1,-1
v3555,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,1,1,0,1,-1,0,1,0
v1397,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,0,0,0,0,0,0,0,0
v2181,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,0,0,0,0,0,0,0,0
v1859,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,1,-1,-1,0,0,0,1,0
v1984,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,-1,1,-1,1,-1,-1,-1,-1
v2801,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,-1,0,0,0,-1,0,-1,0
v2525,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,1,-1,0,-1,-1,-1,-1,0
v2801,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,1,1,1,1,-1,0,-1,0
v0886,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,1,-1,-1,0,-1,-1,1,-1
v1447,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,-1,1,0,0,-1,-1,-1,0
v1477,Maxwell,11b57023-0038-4da7-9328-34ce0bd22606,-1,1,1,1,-1,1,1,1
v2635,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,1,1,1,0,0,1,1,1
v1190,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,1,0,0,1,0,1,1,0
v1025,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,-1,0,-1,-1,1,0,1,0
v0314,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,-1,0,0,-1,1,1,0,0
v0530,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,-1,-1,-1,-1,1,-1,0,-1
v2083,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,1,1,1,1,0,1,0,1
v0265,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,1,1,1,0,0,0,1,0
v3583,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,0,-1,-1,0,0,1,1,0
v1190,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,1,0,-1,1,1,1,1,-1
v0009,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,-1,-1,-1,-1,-1,-1,0,-1
v2328,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,0,0,-1,-1,0,0,1,0
v2083,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,1,1,1,1,0,1,1,1
v0824,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,0,1,0,0,0,1,1,0
v2525,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,0,1,-1,-1,0,1,1,0
v0328,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,-1,-1,-1,-1,1,-1,-1,-1
v2635,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,1,1,1,1,0,1,1,0
v2419,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,-1,1,1,0,1,1,1,0
v2801,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,1,1,1,1,0,1,1,1
v2828,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,1,1,-1,1,0,1,1,1
v0824,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,0,0,-1,0,1,0,1,-1
v1394,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,-1,-1,-1,-1,0,-1,1,0
v0162,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,0,-1,-1,-1,0,-1,0,0
v3583,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,1,-1,1,0,0,1,1,0
v3555,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,1,1,1,1,0,1,1,0
v2181,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,1,1,1,0,0,-1,1,0
v3292,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,1,1,1,0,0,-1,1,0
v3555,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,1,1,1,1,0,1,1,0
v3065,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,-1,0,0,0,1,-1,1,0
v3292,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,1,1,0,1,0,0,1,0
v4125,Maxwell,9fd16a85-5a0f-420e-85a4-099e823c41bc,1,1,1,1,0,1,1,0
v2519,Maxwell,36626e5a-13d6-40ef-b3d5-3d9cc4dbdb4b,1,1,1,-1,-1,-1,0,0
v4166,Maxwell,36626e5a-13d6-40ef-b3d5-3d9cc4dbdb4b,1,-1,-1,1,1,1,1,1
v1703,Maxwell,36626e5a-13d6-40ef-b3d5-3d9cc4dbdb4b,1,0,0,0,0,0,0,0
v0265,Maxwell,36626e5a-13d6-40ef-b3d5-3d9cc4dbdb4b,0,-1,-1,-1,1,-1,-1,-1
